Clubs;Win;Draw;Lose;Goals;Goals Conceded;Match played
Arsenal;19;12;25;74;81;56
Aston Villa;30;10;9;99;46;49
AFC Bournemouth;14;0;1;46;9;15
Brentford;5;1;2;12;7;8
Brighton and Hove Albion;12;2;2;43;13;16
Chelsea;20;9;27;64;77;56
Crystal Palace;17;8;4;59;24;29
Everton;26;11;18;87;60;55
Fulham;20;9;4;77;36;33
Ipswich Town;6;1;3;25;14;10
Leicester City;17;2;7;44;28;26
Liverpool;12;21;23;74;86;56
Manchester United;20;10;26;81;79;56
Newcastle United;32;10;8;106;46;50
Nottingham Forest;5;4;3;22;12;12
Southampton;23;9;7;72;38;39
Tottenham Hotspur;19;8;29;80;81;56
West Ham United;31;8;9;93;44;48
Wolverhampton Wanderers;14;2;5;50;23;21
